 wwu_artifact_repository.10.title: "Apocalypse"
 wwu_artifact_repository.61.option.exit: "Exit"

 wwu_artifact_repository.62.title: "Warmaul of the Warmaul Chieftain"
 wwu_artifact_repository.62.desc: "\n[Root.GetArtifactUnlockSpacer]£warmaul_of_the_warmaul_chieftain_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.62.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.62.option.exit: "Exit"

 wwu_artifact_repository.63.title: "Beakbreaker of Terokk"
 wwu_artifact_repository.63.desc: "\n[Root.GetArtifactUnlockSpacer]£beakbreaker_of_terokk_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.63.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.63.option.exit: "Exit"

 wwu_artifact_repository.64.title: "Zin'rokh, Destroyer of Worlds"
 wwu_artifact_repository.64.desc: "\n[Root.GetArtifactUnlockSpacer]£zinrokh_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.64.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.64.option.exit: "Exit"

 wwu_artifact_repository.65.title: "Fetish of Hir'eek"
 wwu_artifact_repository.65.desc: "\n[Root.GetArtifactUnlockSpacer]£fetish_of_hireek_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.65.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.65.option.exit: "Exit"

 wwu_artifact_repository.66.title: "Bwonsamdi Voodoo Mask"
 wwu_artifact_repository.66.desc: "\n[Root.GetArtifactUnlockSpacer]£bwonsamdi_voodoo_mask_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.66.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.66.option.exit: "Exit"

 wwu_artifact_repository.67.title: "Rezan Idol"
 wwu_artifact_repository.67.desc: "\n[Root.GetArtifactUnlockSpacer]£rezan_idol_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.67.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.67.option.exit: "Exit"

 wwu_artifact_repository.68.title: "Jagged Blade of the Drust"
 wwu_artifact_repository.68.desc: "\n[Root.GetArtifactUnlockSpacer]£jagged_blade_of_the_drust_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.68.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.68.option.exit: "Exit"

 wwu_artifact_repository.69.title: "Soul Coffer"
 wwu_artifact_repository.69.desc: "\n[Root.GetArtifactUnlockSpacer]£soul_coffer_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.69.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.69.option.exit: "Exit"

 wwu_artifact_repository.70.title: "Fetish of the Tormented Mind"
 wwu_artifact_repository.70.desc: "\n[Root.GetArtifactUnlockSpacer]£fetish_of_the_tormented_mind_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.70.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.70.option.exit: "Exit"

 wwu_artifact_repository.71.title: "Ritual Fetish"
 wwu_artifact_repository.71.desc: "\n[Root.GetArtifactUnlockSpacer]£ritual_fetish_icon£\n\n\nLORE HERE\n\nCurrent Owner:\n@[current_artifact_owner.GetTag] [current_artifact_owner.GetName]\n\nArtifact Effect:\n§G+10%§! EFFECT"
 wwu_artifact_repository.71.option.make_primary: "Assign as Primary Artifact"
 wwu_artifact_repository.71.option.exit: "Exit"

 wwu_artifact_repository.72.title: "Blade of Northern Kings"
