 wwu_archaeology.10.title: "Major Discovery: Apocalypse"
 wwu_archaeology.34.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£silver_hand_icon£\n\n\nLORE HERE"
 wwu_archaeology.34.option.a: "Excellent find!"

 wwu_archaeology.35.title: "Major Discovery: Truthguard"
 wwu_archaeology.35.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£truthguard_icon£\n\n\nLORE HERE"
 wwu_archaeology.35.option.a: "Excellent find!"

 wwu_archaeology.36.title: "Major Discovery: Light's Wrath"
 wwu_archaeology.36.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£lights_wrath_icon£\n\n\nLORE HERE"
 wwu_archaeology.36.option.a: "Excellent find!"

 wwu_archaeology.37.title: "Major Discovery: T'uure"
 wwu_archaeology.37.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£tuure_icon£\n\n\nLORE HERE"
 wwu_archaeology.37.option.a: "Excellent find!"

 wwu_archaeology.38.title: "Major Discovery: Kingslayers"
 wwu_archaeology.38.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£kingslayers_icon£\n\n\nLORE HERE"
 wwu_archaeology.38.option.a: "Excellent find!"

 wwu_archaeology.39.title: "Major Discovery: Fangs of the Devourer"
 wwu_archaeology.39.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£fangs_of_the_devourer_icon£\n\n\nLORE HERE"
 wwu_archaeology.39.option.a: "Excellent find!"

 wwu_archaeology.40.title: "Major Discovery: Fist of Ra-den"
 wwu_archaeology.40.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£fist_of_raden_icon£\n\n\nLORE HERE"
 wwu_archaeology.40.option.a: "Excellent find!"

 wwu_archaeology.41.title: "Major Discovery: Sharas'dal"
 wwu_archaeology.41.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£sharasdal_icon£\n\n\nLORE HERE"
 wwu_archaeology.41.option.a: "Excellent find!"

 wwu_archaeology.42.title: "Major Discovery: Ulthalesh"
 wwu_archaeology.42.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£ulthalesh_icon£\n\n\nLORE HERE"
 wwu_archaeology.42.option.a: "Excellent find!"

 wwu_archaeology.43.title: "Major Discovery: Scepter of Sargeras"
 wwu_archaeology.43.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£scepter_of_sargeras_icon£\n\n\nLORE HERE"
 wwu_archaeology.43.option.a: "Excellent find!"

 wwu_archaeology.44.title: "Major Discovery: Strom'kar"
 wwu_archaeology.44.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£stromkar_icon£\n\n\nLORE HERE"
 wwu_archaeology.44.option.a: "Excellent find!"

 wwu_archaeology.45.title: "Major Discovery: Scale of the Earth-warder"
 wwu_archaeology.45.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£scale_of_the_earthwarder_icon£\n\n\nLORE HERE"
 wwu_archaeology.45.option.a: "Excellent find!"

 wwu_archaeology.46.title: "Major Discovery: Underlight Angler"
 wwu_archaeology.46.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£underlight_angler_icon£\n\n\nLORE HERE"
 wwu_archaeology.46.option.a: "Excellent find!"

 wwu_archaeology.47.title: "Major Discovery: Glaive of the Aspects"
 wwu_archaeology.47.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£glaive_of_the_aspects_icon£\n\n\nLORE HERE"
 wwu_archaeology.47.option.a: "Excellent find!"

 wwu_archaeology.48.title: "Major Discovery: Scimitar of Sirocco"
 wwu_archaeology.48.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£scimitar_of_sirocco_icon£\n\n\nLORE HERE"
 wwu_archaeology.48.option.a: "Excellent find!"

 wwu_archaeology.49.title: "Major Discovery: Staff of Ammunae"
 wwu_archaeology.49.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£staff_of_ammunae_icon£\n\n\nLORE HERE"
 wwu_archaeology.49.option.a: "Excellent find!"

 wwu_archaeology.50.title: "Major Discovery: Dustbringer"
 wwu_archaeology.50.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£dustbringer_icon£\n\n\nLORE HERE"
 wwu_archaeology.50.option.a: "Excellent find!"

 wwu_archaeology.51.title: "Major Discovery: Val'anyr, Hammer of Ancient Kings"
 wwu_archaeology.51.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£valanyr_icon£\n\n\nLORE HERE"
 wwu_archaeology.51.option.a: "Excellent find!"

 wwu_archaeology.52.title: "Major Discovery: Puzzle Box of Yogg-Saron"
 wwu_archaeology.52.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£puzzle_box_of_yogg_saron_icon£\n\n\nLORE HERE"
 wwu_archaeology.52.option.a: "Excellent find!"

 wwu_archaeology.53.title: "Major Discovery: Twirling Longbow"
 wwu_archaeology.53.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£twirling_longbow_icon£\n\n\nLORE HERE"
 wwu_archaeology.53.option.a: "Excellent find!"

 wwu_archaeology.54.title: "Major Discovery: Spear of Xuen"
 wwu_archaeology.54.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£spear_of_xuen_icon£\n\n\nLORE HERE"
 wwu_archaeology.54.option.a: "Excellent find!"

 wwu_archaeology.55.title: "Major Discovery: Umbrella of Chi'ji"
 wwu_archaeology.55.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£umbrella_of_chiji_icon£\n\n\nLORE HERE"
 wwu_archaeology.55.option.a: "Excellent find!"

 wwu_archaeology.56.title: "Major Discovery: Amulet of Rukhmar"
 wwu_archaeology.56.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£amulet_of_rukhmar_icon£\n\n\nLORE HERE"
 wwu_archaeology.56.option.a: "Excellent find!"

 wwu_archaeology.57.title: "Major Discovery: Dream of Argus"
 wwu_archaeology.57.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£dream_of_argus_icon£\n\n\nLORE HERE"
 wwu_archaeology.57.option.a: "Excellent find!"

 wwu_archaeology.58.title: "Major Discovery: Grimoire of the Nameless Void"
 wwu_archaeology.58.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£grimoire_of_the_nameless_void_icon£\n\n\nLORE HERE"
 wwu_archaeology.58.option.a: "Excellent find!"

 wwu_archaeology.59.title: "Major Discovery: Gronnsbane"
 wwu_archaeology.59.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£gronnsbane_icon£\n\n\nLORE HERE"
 wwu_archaeology.59.option.a: "Excellent find!"

 wwu_archaeology.60.title: "Major Discovery: Gutrek's Cleaver"
 wwu_archaeology.60.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£gutreks_cleaver_icon£\n\n\nLORE HERE"
 wwu_archaeology.60.option.a: "Excellent find!"

 wwu_archaeology.61.title: "Major Discovery: Headdress of the First Shaman"
 wwu_archaeology.61.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£headdress_of_the_first_shaman_icon£\n\n\nLORE HERE"
 wwu_archaeology.61.option.a: "Excellent find!"

 wwu_archaeology.62.title: "Major Discovery: Warmaul of the Warmaul Chieftain"
 wwu_archaeology.62.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£warmaul_of_the_warmaul_chieftain_icon£\n\n\nLORE HERE"
 wwu_archaeology.62.option.a: "Excellent find!"

 wwu_archaeology.63.title: "Major Discovery: Beakbreaker of Terokk"
 wwu_archaeology.63.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£beakbreaker_of_terokk_icon£\n\n\nLORE HERE"
 wwu_archaeology.63.option.a: "Excellent find!"

 wwu_archaeology.64.title: "Major Discovery: Zin'rokh, Destroyer of Worlds"
 wwu_archaeology.64.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£zinrokh_icon£\n\n\nLORE HERE"
 wwu_archaeology.64.option.a: "Excellent find!"

 wwu_archaeology.65.title: "Major Discovery: Fetish of Hir'eek"
 wwu_archaeology.65.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£fetish_of_hireek_icon£\n\n\nLORE HERE"
 wwu_archaeology.65.option.a: "Excellent find!"

 wwu_archaeology.66.title: "Major Discovery: Bwonsamdi Voodoo Mask"
 wwu_archaeology.66.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£bwonsamdi_voodoo_mask_icon£\n\n\nLORE HERE"
 wwu_archaeology.66.option.a: "Excellent find!"

 wwu_archaeology.67.title: "Major Discovery: Rezan Idol"
 wwu_archaeology.67.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£rezan_idol_icon£\n\n\nLORE HERE"
 wwu_archaeology.67.option.a: "Excellent find!"

 wwu_archaeology.68.title: "Major Discovery: Jagged Blade of the Drust"
 wwu_archaeology.68.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£jagged_blade_of_the_drust_icon£\n\n\nLORE HERE"
 wwu_archaeology.68.option.a: "Excellent find!"

 wwu_archaeology.69.title: "Major Discovery: Soul Coffer"
 wwu_archaeology.69.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£soul_coffer_icon£\n\n\nLORE HERE"
 wwu_archaeology.69.option.a: "Excellent find!"

 wwu_archaeology.70.title: "Major Discovery: Fetish of the Tormented Mind"
 wwu_archaeology.70.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£fetish_of_the_tormented_mind_icon£\n\n\nLORE HERE"
 wwu_archaeology.70.option.a: "Excellent find!"

 wwu_archaeology.71.title: "Major Discovery: Ritual Fetish"
 wwu_archaeology.71.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£ritual_fetish_icon£\n\n\nLORE HERE"
 wwu_archaeology.71.option.a: "Excellent find!"

 wwu_archaeology.72.title: "Major Discovery: Blade of Northern Kings"
 wwu_archaeology.72.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£blade_of_northern_kings_icon£\n\n\nLORE HERE"
 wwu_archaeology.72.option.a: "Excellent find!"

 wwu_archaeology.73.title: "Major Discovery: Brinebeard's Shanker"
 wwu_archaeology.73.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£brinebeards_shanker_icon£\n\n\nLORE HERE"
 wwu_archaeology.73.option.a: "Excellent find!"

 wwu_archaeology.74.title: "Major Discovery: Crimson Captain's Hat"
 wwu_archaeology.74.desc: "£archaeology_banner£\n[Root.GetArtifactUnlockSpacer]£crimson_captains_hat_icon£\n\n\nLORE HERE"
 wwu_archaeology.74.option.a: "Excellent find!"

