 wwu_artifact_heist.10.title: "Loss of Apocalypse"
 wwu_artifact_heist.48.desc: "\n[Root.GetArtifactUnlockSpacer]£scimitar_of_sirocco_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.48.option.a: "Curses!"

 wwu_artifact_heist.49.title: "Loss of Staff of Ammunae"
 wwu_artifact_heist.49.desc: "\n[Root.GetArtifactUnlockSpacer]£staff_of_ammunae_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.49.option.a: "Curses!"

 wwu_artifact_heist.50.title: "Loss of Dustbringer"
 wwu_artifact_heist.50.desc: "\n[Root.GetArtifactUnlockSpacer]£dustbringer_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.50.option.a: "Curses!"

 wwu_artifact_heist.51.title: "Loss of Val'anyr, Hammer of Ancient Kings"
 wwu_artifact_heist.51.desc: "\n[Root.GetArtifactUnlockSpacer]£valanyr_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.51.option.a: "Curses!"

 wwu_artifact_heist.52.title: "Loss of Puzzle Box of Yogg-Saron"
 wwu_artifact_heist.52.desc: "\n[Root.GetArtifactUnlockSpacer]£puzzle_box_of_yogg_saron_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.52.option.a: "Curses!"

 wwu_artifact_heist.53.title: "Loss of Twirling Longbow"
 wwu_artifact_heist.53.desc: "\n[Root.GetArtifactUnlockSpacer]£twirling_longbow_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.53.option.a: "Curses!"

 wwu_artifact_heist.54.title: "Loss of Spear of Xuen"
 wwu_artifact_heist.54.desc: "\n[Root.GetArtifactUnlockSpacer]£spear_of_xuen_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.54.option.a: "Curses!"

 wwu_artifact_heist.55.title: "Loss of Umbrella of Chi'ji"
 wwu_artifact_heist.55.desc: "\n[Root.GetArtifactUnlockSpacer]£umbrella_of_chiji_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.55.option.a: "Curses!"

 wwu_artifact_heist.56.title: "Loss of Amulet of Rukhmar"
 wwu_artifact_heist.56.desc: "\n[Root.GetArtifactUnlockSpacer]£amulet_of_rukhmar_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.56.option.a: "Curses!"

 wwu_artifact_heist.57.title: "Loss of Dream of Argus"
 wwu_artifact_heist.57.desc: "\n[Root.GetArtifactUnlockSpacer]£dream_of_argus_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.57.option.a: "Curses!"

 wwu_artifact_heist.58.title: "Loss of Grimoire of the Nameless Void"
 wwu_artifact_heist.58.desc: "\n[Root.GetArtifactUnlockSpacer]£grimoire_of_the_nameless_void_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.58.option.a: "Curses!"

 wwu_artifact_heist.59.title: "Loss of Gronnsbane"
 wwu_artifact_heist.59.desc: "\n[Root.GetArtifactUnlockSpacer]£gronnsbane_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.59.option.a: "Curses!"

 wwu_artifact_heist.60.title: "Loss of Gutrek's Cleaver"
 wwu_artifact_heist.60.desc: "\n[Root.GetArtifactUnlockSpacer]£gutreks_cleaver_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.60.option.a: "Curses!"

 wwu_artifact_heist.61.title: "Loss of Headdress of the First Shaman"
 wwu_artifact_heist.61.desc: "\n[Root.GetArtifactUnlockSpacer]£headdress_of_the_first_shaman_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.61.option.a: "Curses!"

 wwu_artifact_heist.62.title: "Loss of Warmaul of the Warmaul Chieftain"
 wwu_artifact_heist.62.desc: "\n[Root.GetArtifactUnlockSpacer]£warmaul_of_the_warmaul_chieftain_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.62.option.a: "Curses!"

 wwu_artifact_heist.63.title: "Loss of Beakbreaker of Terokk"
 wwu_artifact_heist.63.desc: "\n[Root.GetArtifactUnlockSpacer]£beakbreaker_of_terokk_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.63.option.a: "Curses!"

 wwu_artifact_heist.64.title: "Loss of Zin'rokh, Destroyer of Worlds"
 wwu_artifact_heist.64.desc: "\n[Root.GetArtifactUnlockSpacer]£zinrokh_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.64.option.a: "Curses!"

 wwu_artifact_heist.65.title: "Loss of Fetish of Hir'eek"
 wwu_artifact_heist.65.desc: "\n[Root.GetArtifactUnlockSpacer]£fetish_of_hireek_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.65.option.a: "Curses!"

 wwu_artifact_heist.66.title: "Loss of Bwonsamdi Voodoo Mask"
 wwu_artifact_heist.66.desc: "\n[Root.GetArtifactUnlockSpacer]£bwonsamdi_voodoo_mask_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.66.option.a: "Curses!"

 wwu_artifact_heist.67.title: "Loss of Rezan Idol"
 wwu_artifact_heist.67.desc: "\n[Root.GetArtifactUnlockSpacer]£rezan_idol_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.67.option.a: "Curses!"

 wwu_artifact_heist.68.title: "Loss of Jagged Blade of the Drust"
 wwu_artifact_heist.68.desc: "\n[Root.GetArtifactUnlockSpacer]£jagged_blade_of_the_drust_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.68.option.a: "Curses!"

 wwu_artifact_heist.69.title: "Loss of Soul Coffer"
 wwu_artifact_heist.69.desc: "\n[Root.GetArtifactUnlockSpacer]£soul_coffer_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.69.option.a: "Curses!"

 wwu_artifact_heist.70.title: "Loss of Fetish of the Tormented Mind"
 wwu_artifact_heist.70.desc: "\n[Root.GetArtifactUnlockSpacer]£fetish_of_the_tormented_mind_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.70.option.a: "Curses!"

 wwu_artifact_heist.71.title: "Loss of Ritual Fetish"
 wwu_artifact_heist.71.desc: "\n[Root.GetArtifactUnlockSpacer]£ritual_fetish_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.71.option.a: "Curses!"

 wwu_artifact_heist.72.title: "Loss of Blade of Northern Kings"
 wwu_artifact_heist.72.desc: "\n[Root.GetArtifactUnlockSpacer]£blade_of_northern_kings_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.72.option.a: "Curses!"

 wwu_artifact_heist.73.title: "Loss of Brinebeard's Shanker"
 wwu_artifact_heist.73.desc: "\n[Root.GetArtifactUnlockSpacer]£brinebeards_shanker_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.73.option.a: "Curses!"

 wwu_artifact_heist.74.title: "Loss of Crimson Captain's Hat"
 wwu_artifact_heist.74.desc: "\n[Root.GetArtifactUnlockSpacer]£crimson_captains_hat_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.74.option.a: "Curses!"

