province;red;green;blue;name;x;
126;141;155;0;Redtooth_Mountain;;
127;141;160;0;Redtooth_Dens;;
128;67;0;200;Lake_Imbu;;
129;141;165;0;The_Grim_Retreat;;
130;141;170;0;The_Grim_Head;;
131;141;175;0;Cinderwood_Bay;;
132;141;180;0;Cinderwood_Shore;;
133;141;185;0;Burning_Thicket;;
134;141;190;0;Snakestrike_Valley;;
135;141;195;0;Azureport_Slums;;
136;141;200;0;Azureport;;
137;142;100;0;Azureport_Delta;;
138;21;80;200;Stonetalon_Abyss;;
139;142;105;0;Thoreta;;
140;20;80;200;Radiant_Depths;;
141;142;110;0;Obscured_Isle;;
142;25;50;200;Scalding_Depths;;
143;142;115;0;Shrouded_Isles;;
144;142;120;0;Whiteblade_Ruins;;
145;25;80;200;Tumultuous_Swell;;
146;25;85;200;Tempest_Sea;;
147;67;10;200;Rustpine_Lake;;
148;25;110;200;Thundering_Expanse;;
149;142;125;0;Whiteblade_Ridge;;
150;142;130;0;The_Spirithowl;;
151;25;120;200;Creeping_Swell;;
152;142;135;0;Spirithowl_Lair;;
153;142;140;0;Coralstone_Ruins;;
154;142;145;0;Plundered_Thicket;;
155;142;150;0;Coralstone_Sands;;
156;142;155;0;Blacktide_Lair;;
157;142;160;0;Trailwind_Isle;;
158;142;165;0;Pirates_Bane;;
159;142;170;0;Lonebloom_Thicket;;
160;34;125;200;Frostfloe_Sea;;
161;34;120;200;Ulduar_Depths;;
162;34;115;200;Accursed_Deep;;
163;34;110;200;Riplash_Depths;;
164;34;105;200;Sholazar_Depths;;
165;34;100;200;Spellweaver_Rift;;
166;34;95;200;Nasam_Swell;;
167;142;175;0;Lonelight_Isle;;
168;240;146;24;Sagehold;;
169;157;103;111;The_Clearcut;;
170;73;224;144;Fort_Daelin;;
171;184;39;29;Briny_Flats;;
172;34;85;200;Valhalas_Sea;;
173;34;80;200;Gulf_of_Jotunheim;;
174;142;180;0;Island_of_Sorrow;;
175;34;70;200;Frozen_Swell;;
176;142;185;0;Ashtar_Ridge;;
177;142;190;0;Ashtar_Island;;
178;142;195;0;Goldmaul_Den;;
179;179;222;106;Norwington_Estate;;
180;135;198;216;Sprucewood;;
181;161;19;131;Krakenbane_Cove;;
182;106;66;74;Anglepoint_Wharf;;
183;142;200;0;Ruins_of_Akle;;
184;33;150;200;Bloodmoon_Deep;;
185;33;145;200;Broken_Depths;;
186;33;140;200;Sea_of_Halvarde;;
187;33;135;200;Borean_Gap;;
188;33;130;200;Iskaara_Sea;;
189;33;125;200;Sea_of_ZulDrak;;
190;33;120;200;Amberpine_Deep;;
191;33;115;200;Dragonblight_Sea;;
192;33;110;200;Sea_of_Kaskala;;
193;33;105;200;Blank;;
194;33;100;201;Blank;;
195;33;95;200;Blank;;
196;33;90;200;Blank;;
197;33;85;200;Blank;;
198;33;50;200;Blank;;
199;33;80;200;Blank;;
200;33;70;200;Blank;;
201;33;60;200;Blank;;
202;33;55;200;Blank;;
203;32;125;200;Blank;;
204;32;120;200;Blank;;
205;32;110;200;Blank;;
206;33;75;200;Blank;;
207;33;65;200;Blank;;
208;32;105;200;Frigid_Sea;;
209;32;115;200;Blank;;
210;28;50;200;Blank;;
211;28;55;200;Blank;;
212;28;60;200;Blank;;
213;28;65;200;Blank;;
214;28;70;200;Blank;;
215;60;100;40;Janeiros_Point;;
216;30;105;200;Waters_of_Oceanus;;
217;38;150;200;Magisters_Nadir;;
218;39;50;200;Blank;;
219;38;145;200;Blank;;
220;38;140;200;Greengill_Sea;;
221;39;55;200;Sunwell_Depths;;
222;39;60;200;Blank;;
223;38;130;200;Blank;;
224;38;135;200;Silver_Gap;;
225;39;65;200;Blank;;
226;39;70;200;Sunstrider_Deep;;
227;39;75;200;Tranquil_Sea;;
228;39;80;200;Blank;;
229;39;85;200;Gulf_of_Shalandis;;
230;39;90;200;Northern_Windy_Water;;
231;39;95;200;Southern_Windy_Water;;
232;39;100;200;Northern_Swell;;
233;39;105;200;Blank;;
234;39;110;200;Sea_of_Gallantry;;
235;39;115;200;Blank;;
236;39;120;200;Scarlet_Bay;;
237;39;125;200;Blank;;
238;39;130;200;Webbed_Deep;;
239;39;135;200;Blank;;
240;39;140;200;Silverpine_Cleft;;
241;39;145;200;Blank;;
242;39;150;200;Blank;;
243;40;55;200;Baradin_Shallow;;
244;40;50;200;Keels_Bay;;
245;40;60;200;Chilling_Gulf;;
246;222;60;162;Rustbolt;;
247;90;108;65;Junkwatt_Depot;;
248;40;65;200;Drisburg_Bay;;
249;116;135;225;Sparkweaver_Point;;
250;40;70;200;Baradin_Flood;;
251;40;75;200;Southshore_Swell;;
252;40;80;200;Faldirs_Gap;;
253;40;85;200;Baradin_Wrecks;;
254;40;90;200;Sea_of_Menethil;;
255;40;95;200;Tempest_Swell;;
256;40;100;200;Waldmark_Sight;;
257;37;10;24;Freehold;;
258;105;36;74;The_Wailing_Tideway;;
259;18;195;33;Rusted_Flow;;
260;33;90;81;Kennings_Lodge;;
261;106;126;220;Fort_Tiras;;
262;117;239;127;Rusted_Vault;;
263;84;106;99;Vadekiuss_Rest;;
264;71;70;71;Barrowknoll_Cemetery;;
265;38;60;200;Thandol_Gap;;
266;40;110;200;Sea_of_Balor;;
267;40;115;200;Coral_Depths;;
268;40;120;200;Obscuring_Sea;;
269;40;125;200;Depths_of_Sorrow;;
270;40;130;200;Blank;;
271;40;135;200;Blank;;
272;40;140;200;Swirling_Waters;;
273;40;145;200;Blank;;
274;40;150;200;Blank;;
275;41;50;200;Blank;;
276;41;55;200;Gulf_of_Ballal;;
277;204;249;189;Drust_Hills;;
278;62;215;201;Whitegrove_Chapel;;
279;155;92;252;Corlain;;
280;96;146;112;Frigid_Ledge;;
281;74;32;61;Crimson_Forest;;
282;5;80;120;Akhenet_Flow;;
283;5;80;130;Sunstone_Flow;;
284;5;80;140;Ramkahen_Reservoir;;
285;5;80;150;Dusty_Flow;;
286;5;80;160;Icemist_Flow;;
287;5;80;170;Granite_Flow;;
288;41;60;200;Blank;;
289;41;65;200;Thornvine_Gap;;
290;41;70;200;Booty_Coast;;
291;36;135;200;Jaguero_Gap;;
292;36;145;200;Blank;;
293;36;140;200;Blank;;
294;36;150;200;Blank;;
295;37;50;200;Misty_Swell;;
296;37;55;200;Blank;;
297;37;60;200;ZulAkman_Coast;;
298;37;65;200;Red_Depths;;
299;37;70;200;Blank;;
300;37;75;200;Tumultuous_Swell;;
301;37;80;200;Blank;;
302;37;90;200;Atalai_Channel;;
303;37;85;200;Stagal_Shallow;;
304;37;95;200;Bogpaddle_Swell;;
305;37;100;200;Blank;;
306;37;105;200;Redshorn_Gulf;;
307;37;110;200;Blank;;
308;37;115;200;Lethlor_Sea;;
309;37;120;200;Blank;;
310;37;125;200;Obsidian_Sea;;
311;37;135;200;Dragonmaw_Coast;;
312;37;130;200;Twilight_Expanse;;
313;37;140;200;Blank;;
314;37;145;200;Kirkfoot_Depths;;
315;37;150;200;Blank;;
316;38;55;200;Arathi_Gulf;;
317;38;50;200;Blank;;
318;38;65;200;Sea_of_Revan;;
319;38;70;200;Zebjiri_Abyss;;
320;38;75;200;Blank;;
321;38;80;200;Blank;;
322;38;85;200;Kings_Sea;;
323;38;90;200;Depths_of_Zebzurik;;
324;38;95;200;Blank;;
325;38;100;200;Maisara_Abyss;;
326;38;105;200;Blank;;
327;38;110;200;Sora_Deep;;
328;38;115;200;Blank;;
329;38;120;200;Duskwither_Sea;;
330;38;125;200;Blank;;
331;29;130;200;Blank;;
332;29;125;200;Blank;;
333;29;100;200;Blank;;
334;29;95;200;Blank;;
335;29;115;200;Blank;;
336;29;110;200;Blank;;
337;29;145;200;Blank;;
338;30;50;200;Blank;;
339;30;55;200;Blank;;
340;30;75;200;Blank;;
341;30;80;200;Blank;;
342;30;60;200;Blank;;
343;29;135;200;Blank;;
344;29;120;200;Blank;;
345;30;70;200;Blank;;
346;30;65;200;Blank;;
347;29;150;200;Blank;;
348;60;110;40;Red_Wing_Point;;
349;29;140;200;Blank;;
350;5;80;180;Blue_Sky_Lake;;
351;5;80;190;Amberpine_River;;
352;5;80;200;Amberpine_Wash;;
353;6;80;100;Bay_of_Naxxramas;;
354;6;80;110;Stranglethorn_Delta;;
355;6;80;120;Stranglethorn_Pools;;
356;6;80;130;Stranglethorn_Flow;;
357;6;80;140;Westfall_Flow;;
358;6;80;150;Elwynn_Flow;;
359;6;80;160;Twilight_Channel;;
360;85;204;126;Maze_of_Bakri;;
361;85;154;193;Pillars_of_Might;;
362;166;160;111;Black_Shrine;;
363;166;103;160;Kaxeers_Den;;
364;81;191;158;Highkeepers_Perch;;
365;157;118;143;Sentinel_Path;;
366;190;207;107;Shifting_Sands;;
367;190;186;184;Hives_of_Velkor;;
368;200;100;48;Blank;;
369;27;80;200;Blank;;
370;27;85;200;Blank;;
371;27;95;200;Blank;;
372;27;105;200;Boiling_Cleft;;
373;27;110;200;Blank;;
374;27;115;200;Blank;;
375;27;125;200;Blank;;
376;26;75;200;Blank;;
377;26;60;200;Rippling_Depths;;
378;25;130;200;Blank;;
379;27;120;200;Kajaro_Depths;;
380;27;140;200;Kajamite_Waters;;
381;27;130;200;Sea_of_Kaja;;
382;27;135;200;Blank;;
383;27;145;200;Blank;;
384;27;150;200;Blank;;
385;27;100;200;Blank;;
386;28;110;200;Skittering_Sea;;
387;28;85;200;Glimmering_Reef;;
388;28;95;200;Azshari_Depths;;
389;28;115;200;Blank;;
390;28;120;200;Blank;;
391;29;70;200;Blank;;
392;29;75;200;Blank;;
393;29;90;200;Blank;;
394;28;100;200;Zanjir_Abyss;;
395;28;135;200;Blank;;
396;28;105;200;Blank;;
397;28;125;200;Blank;;
398;28;80;200;Tidal_Swell;;
399;28;140;200;Verdant_Cleft;;
400;28;130;200;Blank;;
401;29;55;200;Blank;;
402;28;145;200;Blank;;
403;29;80;200;Blank;;
404;28;150;200;Blank;;
405;60;120;40;The_Deepwild;;
406;29;60;200;Blank;;
407;29;65;200;Sea_of_Reckoning;;
408;28;75;200;Blank;;
409;28;90;200;Skittering_Sea;;
410;30;115;200;Ancient_Gulf;;
411;31;135;200;Blank;;
412;31;130;200;Blank;;
413;27;90;200;Sea_of_Glave;;
414;29;85;200;Stormy_Swell;;
415;29;105;200;Blank;;
416;100;125;162;Roiling_Rise;;
417;40;105;200;Coldridge_Swell;;
418;30;90;200;Blank;;
419;31;65;200;Blank;;
420;31;60;200;Stormy_Expanse;;
421;31;55;200;Shimmering_Abyss;;
422;31;70;200;Blank;;
423;31;75;200;Blank;;
424;31;80;200;Blank;;
425;31;85;200;Blank;;
426;30;85;200;Tol_Depths;;
427;30;95;200;Blank;;
428;30;150;200;Frostsabre_Cleft;;
429;31;50;200;Icewind_Gap;;
430;30;100;200;Atalgral_Coast;;
431;30;110;200;Blank;;
432;30;145;200;Shatterstone_Shallows;;
433;31;90;200;Blank;;
434;31;95;200;Blank;;
435;31;100;200;Blank;;
436;30;140;200;Blank;;
437;31;105;200;Blank;;
438;30;130;200;Blank;;
439;30;120;200;Blank;;
440;30;135;200;Blank;;
441;31;115;200;Dojani_Swell;;
442;31;125;200;Snowblossom_Sea;;
443;32;100;200;Redblossom_Gap;;
444;36;130;200;Blank;;
445;36;125;200;Blank;;
446;36;120;200;Blank;;
447;36;105;200;Blank;;
448;100;165;111;Sandwood;;
449;36;115;200;Blank;;
450;36;110;200;Blank;;
451;36;70;200;Blank;;
452;36;100;200;Blank;;
453;36;95;200;Blank;;
454;36;80;200;Blank;;
455;36;90;200;Blank;;
456;36;85;200;Blank;;
457;35;145;200;Blank;;
458;35;140;200;Blank;;
459;35;130;200;Blank;;
460;35;135;200;Blank;;
461;35;115;200;Blank;;
462;35;110;200;Blank;;
463;35;105;200;Blank;;
464;35;85;200;Blank;;
465;35;80;200;Blank;;
466;35;65;200;Blank;;
467;35;60;200;Blank;;
468;35;55;200;Blank;;
469;34;140;200;Blank;;
470;35;125;200;Blank;;
471;35;120;200;Blank;;
472;100;121;112;Dunes_of_the_Sun;;
473;57;185;154;Neferset_Beachhead;;
474;57;222;103;Sunsworn_Sands;;
475;145;173;114;Pygmy_Camp;;
476;145;106;158;Akhenet_Fields;;
477;211;196;56;Sahket_Dunes;;
478;36;65;200;Blank;;
479;35;150;200;Blank;;
480;58;142;37;Ramkahen_Sands;;
481;119;202;62;Orsis_Knoll;;
482;166;145;169;Sun_Promontory;;
483;143;114;114;Sunstone_Halls;;
484;34;145;200;Blank;;
485;35;50;200;Blank;;
486;6;80;170;Obsidian_Delta;;
487;34;150;200;Blank;;
488;6;80;180;Mosshide_Lake;;
489;6;80;190;Whelgars_Flow;;
490;35;70;200;Blank;;
491;35;75;200;Blank;;
492;35;100;200;Blank;;
493;6;80;200;Boggy_Flow;;
494;7;80;100;Black_Channel;;
495;7;80;110;Salty_Shallow;;
496;36;75;200;Blank;;
497;36;60;200;Blank;;
498;36;55;200;Blank;;
499;7;80;120;Mossy_Flow;;
500;35;95;200;Blank;;
501;36;50;200;Blank;;
502;7;80;130;Marshy_Delta;;
503;7;80;140;Southshore_Flow;;
504;35;90;200;Blank;;
505;255;126;40;Northern_Headlands;;
506;212;62;173;Faldirs_Cove;;
507;207;126;173;Eastwall_Tower;;
508;200;100;47;Blank;;
509;189;126;64;South_Azure_Dragonshrine;;
510;185;62;155;Pit_of_Gammoth;;
511;171;126;192;Ruins_of_ZulMamwe;;
512;7;80;150;Chillwind_Flow;;
513;7;80;160;Darrow_Lake;;
514;7;80;170;Andorhal_Flow;;
515;153;126;0;North_Gate_Outpost;;
516;148;62;192;Mossy_Caves;;
517;143;126;64;Revantusk_Village;;
518;139;62;255;Corrahns_Dagger;;
519;134;126;128;Kings_Harbor;;
520;130;62;0;East_Sanctum;;
521;255;125;215;Greengill_Coast;;
522;101;125;54;Valkyrion;;
523;255;24;40;The_Conflagration_Entrance;;
524;7;80;180;Hearthglen_Flow;;
525;130;60;50;Northgate_Woods;;
526;88;124;126;Nesingwary_Base_Camp;;
527;84;60;126;Northfold_Manor;;
528;70;124;126;Warm_Hearth_Manor;;
529;61;124;0;South_Ruby_Dragonshrine;;
530;56;60;192;Transitus_Shield;;
531;43;124;128;Baliamah_Ruins;;
532;7;80;190;Wild_Shallow;;
533;1;190;0;Hoggers_Camp;;
534;7;80;200;Ulatek_Flow;;
535;8;80;100;Maisara_Channel;;
536;20;60;128;Rockspew_Grounds;;
537;15;124;0;Lower_JinthaAlor;;
538;11;60;192;Tarren_Mill;;
539;6;124;64;Fletchers_Hollow;;
540;2;60;255;The_Blossoming_Grove;;
541;0;124;194;Plain_of_Echos;;
542;212;58;79;Dunwald_Ruins;;
543;198;122;79;Capital_City;;
544;193;58;64;DrakSotra;;
545;189;122;255;Obsidian_Dragonshrine;;
546;184;58;128;New_Agamand;;
547;175;58;192;Marshtide_Watch;;
548;171;122;64;Fort_Livingston;;
549;8;80;110;Abasi_Channel;;
550;1;170;0;Stonefield_Farm;;
551;8;80;120;Dawnstar_Lake;;
552;152;122;192;Valley_of_Kings;;
553;151;186;110;Shattered_Overlook;;
554;148;58;64;Slabchisels_Survey;;
555;8;80;130;Duskwither_Flow;;
556;139;58;128;Strahnbrad;;
557;134;122;0;Lights_Hope_Chapel;;
558;129;58;192;Sunstrider_Isle;;
559;8;80;140;Tranquillien_Flow;;
560;84;56;32;Agamand_Mills;;
561;79;120;32;The_Twilight_Gate;;
562;65;56;0;Pools_of_Sseratus;;
563;61;120;192;Jinthakalar;;
564;56;56;64;Scalawag_Point;;
565;42;120;0;Bambala;;
566;8;80;150;Andaroth_Flow;;
567;1;200;0;Maclure_Vineyards;;
568;81;101;208;Dread_Shore;;
569;146;101;130;Hills_of_Fear;;
570;24;120;128;Boralus;;
571;20;56;0;Mosshide_Fen;;
572;173;101;47;Fearfeather_Den;;
573;10;56;64;Tides_Fall;;
573;40;150;40;land;Corin's Crossing;
574;6;120;255;Corins_Crossing;;
575;1;56;128;Fairbreeze_Village;;
576;0;120;91;Frosthold;;
577;40;160;40;Mezzamere;;
578;184;183;51;The_Stormwrights_Shelf;;
579;40;170;40;Zanjir_Terrace;;
580;211;54;173;Swiftgear_Station;;
581;198;118;173;Obsidian_Forest;;
582;193;54;255;West_Side_Altar_of_Sseratus;;
583;189;118;128;The_Forgotten_Shore;;
584;184;54;0;Kamagua;;
585;170;118;255;Venture_Co__Base_Camp;;
586;166;54;128;The_Yorgen_Farmstead;;
587;1;150;0;Crystal_Lake;;
588;40;180;40;Gate_of_the_Queen;;
589;147;54;255;Dun_Algaz;;
590;40;190;40;Azshari_Terrace;;
591;138;54;0;Chillwind_Camp;;
592;134;118;192;Liondale;;
593;129;54;64;Sunsail_Anchorage;;
594;67;80;32;Stagalbog;;
595;181;181;52;The_Makers_Overlook;;
596;83;52;126;Moonbrook;;
597;70;116;126;Highbank;;
598;65;52;192;Voltarus;;
599;60;116;64;Naxxramas;;
600;56;52;255;Ember_Clutch;;
601;42;116;192;Kurzens_Compound;;
602;38;52;64;Vulgol_Ogre_Mound;;
603;1;160;0;Goldshire;;
604;200;70;49;Blank;;
605;19;52;192;Angerfang_Hills;;
606;15;116;64;Hammerfall;;
607;10;52;255;Darrow_Graves;;
608;6;116;128;Hunting_Woods;;
609;1;52;0;North_Sanctum;;
610;68;96;32;Bloodgulch;;
611;41;150;41;Ashen_Strand;;
612;211;50;79;Westfall_Lighthouse;;
613;207;114;79;Crucible_of_Carnage;;
614;197;114;79;Twilight_Shore;;
615;193;50;128;Thryms_End;;
616;41;160;41;Zinazshari;;
617;170;114;128;The_Drowned_Market;;
617;41;170;41;land;Northshire;
618;165;50;0;Addles_Stead;;
619;1;140;0;Northshire_Abbey;;
620;51;150;51;Kalmethir;;
621;51;160;51;Spears_of_Azshara;;
622;147;50;128;Peatbog_Hill;;
623;143;114;0;Witherbark_Village;;
624;138;50;192;Ravenhold_Manor;;
625;133;114;64;Scout_Tower;;
626;129;50;255;Golden_Alley;;
627;163;146;255;Sandy_Shores;;
628;255;112;90;Scourgeholme;;
629;102;240;0;Windrunner_Spire;;
630;83;48;32;Nethergarde_Keep;;
631;78;112;32;Crushblow;;
632;69;112;32;Firebeards_Patrol;;
633;65;48;64;Rageclaw_Lake;;
634;60;112;255;Carrion_Hills;;
635;56;48;128;Westguard_Keep;;
636;42;112;64;Nesingwarys_Expedition;;
637;37;48;255;Ravenhill;;
638;33;112;128;Sorrowmurk;;
639;24;112;192;Fletchers_Hollow;;
640;200;80;49;Blank;;
641;14;112;255;Boulderfist_Hall;;
642;5;112;0;Gates_of_Stratholme;;
643;1;48;192;Duskwither_Hills;;
644;88;175;171;Plaguemist_Ravine;;
645;240;238;129;Garm;;
646;211;46;173;Solliden_Farmstead;;
647;200;90;49;Blank;;
648;197;110;173;The_Ivar_Patch;;
649;193;46;0;Zeramas;;
650;188;110;192;Burning_Hills;;
651;183;46;64;Rivenwood;;
652;170;110;0;Kalai_Ruins;;
653;165;46;192;Misty_Bank;;
654;200;100;49;Blank;;
655;151;110;128;Thelsamar;;
656;147;46;0;Whelgars_Retreat;;
657;200;50;51;Blank;;
658;200;60;51;Blank;;
659;133;110;255;ZebSora;;
660;129;46;128;East_Silvermoon;;
661;2;100;0;Ridgepoint_Tower;;
662;83;44;126;Scarlet_Palisade;;
663;69;108;126;North_Tide_Field;;
664;64;44;255;Ebon_Watch;;
665;200;70;51;Blank;;
666;200;80;51;Blank;;
667;200;90;51;Blank;;
668;200;100;51;Blank;;
669;32;108;0;Renders_Valley;;
670;200;50;52;Blank;;
671;23;108;64;The_Sepulcher;;
672;19;44;255;The_Kings_Highway;;
673;14;108;128;Refuge_Pointe;;
674;200;60;52;Blank;;
675;200;70;52;Blank;;
676;0;44;64;West_Silvermoon;;
677;197;106;79;Valgans_Field;;
678;200;80;52;Blank;;
679;188;106;64;Venomspite;;
680;183;42;255;Gjalerbron;;
681;169;106;192;Mizjah_Ruins;;
682;165;42;64;Raven_Hill_Cemetery;;
683;160;106;255;Lakeridge_Highway;;
684;200;90;52;Blank;;
685;151;106;0;South_Tide_Fields;;
686;147;42;192;Shadowfang_Keep;;
687;142;106;64;Refuge_Crossroads;;
688;137;42;255;Andorhal;;
689;200;100;52;Blank;;
690;128;42;0;Golden_Approach;;
691;196;94;173;ZulDare;;
692;132;41;144;Wildgrowth_Mangal;;
693;196;90;79;Wild_Shore;;
694;200;50;53;Blank;;
695;64;40;128;Bloodmoon_Isle;;
696;55;40;192;Skorn;;
697;41;104;128;Gromgol_Base_Camp;;
698;37;40;0;Twilight_Grove;;
699;200;60;53;Blank;;
700;28;40;64;Blank;;
700;200;70;53;wasteland;Felstone Field;
701;23;104;255;Gorshak_War_Camp;;
702;18;40;128;Deep_Elem_Mine;;
703;9;40;192;Felstone_Field;;
704;5;104;64;Duskwither_Spire;;
705;0;40;255;Sunwell_Plateau;;
706;213;231;178;Violet_Stand;;
707;195;78;173;Stonard;;
708;165;72;137;Valiance_Landing_Camp;;
709;200;80;53;Blank;;
710;213;38;84;The_Bastion_of_Twilight;;
711;197;102;173;The_Skittering_Dark;;
712;192;38;64;Drakiljin_Ruins;;
713;187;102;255;The_Crystal_Vice;;
714;183;38;128;Vengeance_Landing;;
715;169;102;64;Ballal_Ruins;;
716;165;38;255;Sentinel_Hill;;
717;160;102;128;Three_Corners;;
718;200;90;53;Blank;;
719;200;100;53;Blank;;
720;146;38;64;Ambermill;;
721;142;102;255;Eastpoint_Tower;;
722;137;38;128;Dalsons_Farm;;
723;133;102;0;QuelLithien_Lodge;;
724;128;38;192;Dawnstar_Village;;
725;68;230;179;Misty_Valley;;
726;187;165;22;The_Fleshwerks;;
727;179;165;85;Vandermar;;
728;188;228;233;Eastern_Rise;;
729;110;36;0;Northpass_Tower;;
730;82;36;126;Victors_Point;;
731;68;100;126;Fenris_Keep;;
732;64;36;0;Thor_Modan;;
733;59;100;192;Galakronds_Rest;;
734;55;36;64;Utgarde_Keep;;
735;41;100;0;Zuuldaia_Ruins;;
736;36;36;192;The_Raging_Chasm;;
737;32;100;64;Lakeshire;;
738;200;50;54;Blank;;
739;23;100;128;The_Krazzworks;;
740;18;36;0;Balnir_Farmstead;;
741;14;100;192;Durnholde_Keep;;
742;9;36;64;Hearthglen_Village;;
743;4;100;255;ZulMashar;;
744;234;227;107;Elementium_Depths;;
745;200;60;54;Blank;;
746;196;98;79;The_Shining_Strand;;
747;192;34;255;The_Broken_Bluffs;;
748;187;98;128;Moaki_Harbor;;
749;183;34;0;Explorers_League_Outpost;;
750;169;98;255;Ruins_of_Zulkunda;;
751;164;34;128;Saldeans_Farm;;
752;160;98;0;Redridge_Canyons;;
753;157;34;114;Dun_Niffelem;;
754;200;70;54;Mount_Mugamba;;
755;151;98;64;Dragonmaw_Port;;
756;146;34;255;Dandreds_Fold;;
757;141;98;128;Gilnean_Islands;;
758;200;80;54;Blank;;
